cnt,wave,group,pct
LTU,2022,HISEI < 35,34.6664648986291
LTU,2022,More than 100 books,28.4084259240357
LTU,2022,25 books or fewer,39.357489724198
LTU,2022,No valid ESCS,3.06114397617563
LTU,2022,Valid ESCS,96.9388560238244
LTU,2025,Parents with tertiary education (16 years),66.9969364699118
LTU,2025,Parents with 12 years or fewer,33.0030635300882
LTU,2025,HISEI >= 60,58.0491018669619
LTU,2025,HISEI < 35,25.4754723257643
LTU,2025,More than 100 books,28.9946197405896
LTU,2025,25 books or fewer,37.558268536333
LTU,2025,No valid ESCS,10.5342261353699
LTU,2025,Valid ESCS,89.4657738646302
LVA,2022,Parents with tertiary education (16 years),49.4667360066321
LVA,2022,Parents with 12 years or fewer,32.4274035594445
LVA,2022,HISEI >= 60,38.8022944377826
LVA,2022,HISEI < 35,32.7099902593124
LVA,2022,More than 100 books,29.6884706106635
LVA,2022,25 books or fewer,34.7824695069787
LVA,2022,No valid ESCS,3.58396361189114
LVA,2022,Valid ESCS,96.4160363881089
LVA,2025,Parents with tertiary education (16 years),50.8719336895489
LVA,2025,Parents with 12 years or fewer,35.9847019038039
LVA,2025,HISEI >= 60,54.0087288985227
LVA,2025,HISEI < 35,25.0222984875728
LVA,2025,More than 100 books,29.1471832159961
LVA,2025,25 books or fewer,37.8543447454877
LVA,2025,No valid ESCS,13.3079299350092
LVA,2025,Valid ESCS,86.6920700649908
MEX,2022,Parents with tertiary education (16 years),35.85428405459
MEX,2022,Parents with 12 years or fewer,54.119272967819
MEX,2022,HISEI >= 60,28.9133892066387
MEX,2022,HISEI < 35,51.3375881944698
MEX,2022,More than 100 books,6.5790414827859
MEX,2022,25 books or fewer,77.4445340544169
MEX,2022,No valid ESCS,0.256496418150689
MEX,2022,Valid ESCS,99.7435035818493
MEX,2025,Parents with tertiary education (16 years),33.1970764700439
MEX,2025,Parents with 12 years or fewer,61.7665510695746
MEX,2025,HISEI >= 60,27.947495632525
MEX,2025,HISEI < 35,44.3918351704475
MEX,2025,More than 100 books,6.53976790584577
MEX,2025,25 books or fewer,79.3353340515669
MEX,2025,No valid ESCS,2.56209686111593
MEX,2025,Valid ESCS,97.4379031388841
NLD,2022,Parents with tertiary education (16 years),76.1286180537171
NLD,2022,Parents with 12 years or fewer,23.8713819462829
NLD,2022,HISEI >= 60,50.4230350989534
NLD,2022,HISEI < 35,23.0523316139424
NLD,2022,More than 100 books,28.1406375971176
NLD,2022,25 books or fewer,42.0402713757
NLD,2022,No valid ESCS,3.95466401167474
NLD,2022,Valid ESCS,96.0453359883253
NLD,2025,Parents with tertiary education (16 years),55.4564846255125
NLD,2025,Parents with 12 years or fewer,44.5435153744876
NLD,2025,HISEI >= 60,51.5466395227067
NLD,2025,HISEI < 35,22.8332085731441
NLD,2025,More than 100 books,27.5281804868228
NLD,2025,25 books or fewer,43.911265017678
NLD,2025,No valid ESCS,7.74375660778813
NLD,2025,Valid ESCS,92.2562433922119
NOR,2022,Parents with tertiary education (16 years),67.7704077534529
NOR,2022,Parents with 12 years or fewer,17.0811327381072
NOR,2022,HISEI >= 60,61.6009302224666
NOR,2022,HISEI < 35,16.5477890843858
NOR,2022,More than 100 books,46.6446862531945
NOR,2022,25 books or fewer,24.6761048935781
NOR,2022,No valid ESCS,6.12310073075402
NOR,2022,Valid ESCS,93.876899269246
NOR,2025,Parents with tertiary education (16 years),61.8116979012517
NOR,2025,Parents with 12 years or fewer,24.0423017197206
NOR,2025,HISEI >= 60,61.239258036691
NOR,2025,HISEI < 35,19.0265991453629
NOR,2025,More than 100 books,41.7845529458652
NOR,2025,25 books or fewer,27.955695035006
NOR,2025,No valid ESCS,8.21460055918024
NOR,2025,Valid ESCS,91.7853994408198
NZL,2022,Parents with tertiary education (16 years),54.4548235817526
NZL,2022,Parents with 12 years or fewer,32.8346172577178
NZL,2022,HISEI >= 60,54.5053844592335
NZL,2022,HISEI < 35,21.3163349283191
NZL,2022,More than 100 books,36.4611995822951
NZL,2022,25 books or fewer,31.4958838157572
NZL,2022,No valid ESCS,5.36998013475032
NZL,2022,Valid ESCS,94.6300198652497
NZL,2025,Parents with tertiary education (16 years),54.8476966839731
NZL,2025,Parents with 12 years or fewer,36.530654607013
NZL,2025,HISEI >= 60,53.8949202449879
NZL,2025,HISEI < 35,18.8114311729168
NZL,2025,More than 100 books,34.1928246692031
NZL,2025,25 books or fewer,35.3739042334498
NZL,2025,No valid ESCS,10.8775358628587
NZL,2025,Valid ESCS,89.1224641371413
POL,2022,Parents with tertiary education (16 years),43.7991514748105
POL,2022,Parents with 12 years or fewer,56.2008485251895
POL,2022,HISEI >= 60,42.128719534854
POL,2022,HISEI < 35,35.3717031735604
POL,2022,More than 100 books,34.0895799978311
POL,2022,25 books or fewer,36.0223118465802
POL,2022,No valid ESCS,2.46347603064833
POL,2022,Valid ESCS,97.5365239693517
POL,2025,Parents with tertiary education (16 years),49.949410589485
POL,2025,Parents with 12 years or fewer,50.050589410515
POL,2025,HISEI >= 60,41.6292327475125
POL,2025,HISEI < 35,34.9559554259045
POL,2025,More than 100 books,34.3795508421556
POL,2025,25 books or fewer,36.3416425106561
POL,2025,No valid ESCS,4.87182610972004
POL,2025,Valid ESCS,95.12817389028
PRT,2022,Parents with tertiary education (16 years),44.5686198336204
PRT,2022,Parents with 12 years or fewer,43.3927239785676
PRT,2022,HISEI >= 60,40.5008798828739
PRT,2022,HISEI < 35,35.8026424721142
PRT,2022,More than 100 books,27.7840776055453
PRT,2022,25 books or fewer,44.1343837602461
PRT,2022,No valid ESCS,1.90363937114975
PRT,2022,Valid ESCS,98.0963606288503
PRT,2025,Parents with tertiary education (16 years),44.1001674231611
PRT,2025,Parents with 12 years or fewer,48.9968298264781
PRT,2025,HISEI >= 60,44.8981306937835
PRT,2025,HISEI < 35,32.5396982144375
PRT,2025,More than 100 books,25.2298243759833
PRT,2025,25 books or fewer,46.9228935882661
PRT,2025,No valid ESCS,5.31542887814593
PRT,2025,Valid ESCS,94.6845711218541
SVK,2022,Parents with tertiary education (16 years),42.71144775064
SVK,2022,Parents with 12 years or fewer,51.8995291604455
SVK,2022,HISEI >= 60,30.7095468576373
SVK,2022,HISEI < 35,40.9330449738756
SVK,2022,More than 100 books,30.5219859835591
SVK,2022,25 books or fewer,41.3931284895643
SVK,2022,No valid ESCS,1.53938483486256
SVK,2022,Valid ESCS,98.4606151651374
SVK,2025,Parents with tertiary education (16 years),45.3945845916986
SVK,2025,Parents with 12 years or fewer,50.3266180855183
SVK,2025,HISEI >= 60,36.5729161898608
SVK,2025,HISEI < 35,32.6558692966154
SVK,2025,More than 100 books,34.6869510462517
SVK,2025,25 books or fewer,36.6319540582128
SVK,2025,No valid ESCS,4.98515013065795
SVK,2025,Valid ESCS,95.0148498693421
SVN,2022,Parents with tertiary education (16 years),58.3271128245203
SVN,2022,Parents with 12 years or fewer,31.9606477304062
SVN,2022,HISEI >= 60,52.9954548816065
SVN,2022,HISEI < 35,24.7351945445574
SVN,2022,More than 100 books,35.5190085340932
SVN,2022,25 books or fewer,33.2105932296493
SVN,2022,No valid ESCS,2.02802626826537
SVN,2022,Valid ESCS,97.9719737317346
SVN,2025,Parents with tertiary education (16 years),55.2928584076607
SVN,2025,Parents with 12 years or fewer,30.1574816313758
SVN,2025,HISEI >= 60,54.2087949850309
SVN,2025,HISEI < 35,22.968687274101
SVN,2025,More than 100 books,34.214976237976
SVN,2025,25 books or fewer,36.1191361360622
SVN,2025,No valid ESCS,6.18646902558144
SVN,2025,Valid ESCS,93.8135309744186
SWE,2022,Parents with tertiary education (16 years),62.1357136212322
SWE,2022,Parents with 12 years or fewer,22.4776143871049
SWE,2022,HISEI >= 60,56.3330547723299
SWE,2022,HISEI < 35,23.6979784173293
SWE,2022,More than 100 books,36.1880801998365
SWE,2022,25 books or fewer,33.3938331600139
SWE,2022,No valid ESCS,3.16440600872765
SWE,2022,Valid ESCS,96.8355939912723
SWE,2025,Parents with tertiary education (16 years),59.2817390841872
SWE,2025,Parents with 12 years or fewer,27.9199432916237
SWE,2025,HISEI >= 60,60.7079141858281
SWE,2025,HISEI < 35,19.3439424336541
SWE,2025,More than 100 books,34.6866279572879
SWE,2025,25 books or fewer,34.6922024336655
SWE,2025,No valid ESCS,6.43635513152489
SWE,2025,Valid ESCS,93.5636448684751
TUR,2022,Parents with tertiary education (16 years),25.2133732615892
TUR,2022,Parents with 12 years or fewer,68.2648527471755
TUR,2022,HISEI >= 60,21.7480544384052
TUR,2022,HISEI < 35,58.5370229443716
TUR,2022,More than 100 books,28.8912375613212
TUR,2022,25 books or fewer,37.3662130419871
TUR,2022,No valid ESCS,0.0707116720950037
TUR,2022,Valid ESCS,99.929288327905
TUR,2025,Parents with tertiary education (16 years),26.6791504508675
TUR,2025,Parents with 12 years or fewer,67.4675445403838
TUR,2025,HISEI >= 60,30.5834457848113
TUR,2025,HISEI < 35,47.4449537396388
TUR,2025,More than 100 books,34.6572229127869
TUR,2025,25 books or fewer,32.6897479782852
TUR,2025,No valid ESCS,3.22292298870743
TUR,2025,Valid ESCS,96.7770770112926
USA,2022,Parents with tertiary education (16 years),56.0617869842259
USA,2022,Parents with 12 years or fewer,36.2881249816198
USA,2022,HISEI >= 60,50.6451394548723
