cnt,wave,index,quartile,statistic,computed,official,difference,source_table
MEX,2015,escs,Q1,se,3.6293334489042497,3.6247400000000005,0.0045934489042491755,Table I.B1.2b.24
MEX,2015,escs,Q2,estimate,401.81202698970685,401.79858,0.013446989706835666,Table I.B1.2b.24
MEX,2015,escs,Q2,se,2.857936501677916,2.86412,-0.006183498322084091,Table I.B1.2b.24
MEX,2015,escs,Q3,estimate,414.8336430920739,414.83655000000005,-0.0029069079261603292,Table I.B1.2b.24
MEX,2015,escs,Q3,se,3.259145070716301,3.25971,-0.0005649292836991116,Table I.B1.2b.24
MEX,2015,escs,Q4,estimate,436.61220006059546,436.61220000000003,6.059542556613451e-08,Table I.B1.2b.24
MEX,2015,escs,Q4,se,3.393624838667504,3.39827,-0.0046451613324962615,Table I.B1.2b.24
MEX,2018,escs,Q1,estimate,377.6634569285093,377.66346000000004,-3.0714907666151703e-06,Table I.B1.2b.24
MEX,2018,escs,Q1,se,3.676876553223075,3.6655100000000003,0.011366553223074671,Table I.B1.2b.24
MEX,2018,escs,Q2,estimate,400.0416474517542,400.04165000000006,-2.5482458454462176e-06,Table I.B1.2b.24
MEX,2018,escs,Q2,se,3.516127740196718,3.5237300000000005,-0.00760225980328233,Table I.B1.2b.24
MEX,2018,escs,Q3,estimate,412.8948648812707,412.89486000000005,4.881270626810874e-06,Table I.B1.2b.24
MEX,2018,escs,Q3,se,3.8738005742674737,3.8761200000000002,-0.0023194257325265255,Table I.B1.2b.24
MEX,2018,escs,Q4,estimate,444.9887527327198,444.98875000000004,2.732719735831779e-06,Table I.B1.2b.24
MEX,2018,escs,Q4,se,4.912751965782017,4.9183,-0.005548034217983222,Table I.B1.2b.24
MEX,2022,escs,Q1,estimate,369.1964651437033,369.19647000000003,-4.856296754951472e-06,Table I.B1.2b.24
MEX,2022,escs,Q1,se,2.4169888643176525,2.42185,-0.004861135682347584,Table I.B1.2b.24
MEX,2022,escs,Q2,estimate,385.84056690470385,385.84057,-3.0952961651564692e-06,Table I.B1.2b.24
MEX,2022,escs,Q2,se,2.5140659335587134,2.5035200000000004,0.010545933558713028,Table I.B1.2b.24
MEX,2022,escs,Q3,estimate,397.7417315451392,397.74173,1.5451391845999751e-06,Table I.B1.2b.24
MEX,2022,escs,Q3,se,3.866073332475498,3.8711500000000005,-0.005076667524502643,Table I.B1.2b.24
MEX,2022,escs,Q4,estimate,427.6472404806056,427.64724,4.806055926565023e-07,Table I.B1.2b.24
MEX,2022,escs,Q4,se,4.164314079640668,4.16573,-0.0014159203593315794,Table I.B1.2b.24
MEX,2025,escs,Q1,estimate,362.65924264442464,362.59583000000003,0.06341264442460215,Table I.B1.2b.24
MEX,2025,escs,Q1,se,2.2550906371235944,2.309,-0.0539093628764058,Table I.B1.2b.24
MEX,2025,escs,Q2,estimate,381.73170253905545,381.65265000000005,0.07905253905539666,Table I.B1.2b.24
MEX,2025,escs,Q2,se,2.0112933243352127,1.96402,0.047273324335212585,Table I.B1.2b.24
MEX,2025,escs,Q3,estimate,392.3017928341875,392.39193000000006,-0.09013716581256404,Table I.B1.2b.24
MEX,2025,escs,Q3,se,2.944170469433404,2.97603,-0.031859530566596295,Table I.B1.2b.24
MEX,2025,escs,Q4,estimate,419.82681578657264,419.83408000000003,-0.007264213427390587,Table I.B1.2b.24
MEX,2025,escs,Q4,se,3.667216869921827,3.6380500000000002,0.0291668699218266,Table I.B1.2b.24
PER,2015,escs,Q1,estimate,341.1987984170835,341.1988,-1.582916524967004e-06,Table I.B1.2b.24
PER,2015,escs,Q1,se,3.2083198490468416,3.2078300000000004,0.0004898490468412398,Table I.B1.2b.24
PER,2015,escs,Q2,estimate,375.01024884418314,375.03497000000004,-0.024721155816905593,Table I.B1.2b.24
PER,2015,escs,Q2,se,3.5224703129416763,3.5499500000000004,-0.027479687058324043,Table I.B1.2b.24
PER,2015,escs,Q3,estimate,394.93102568678245,394.89249,0.03853568678243846,Table I.B1.2b.24
PER,2015,escs,Q3,se,3.8715101867827335,3.8748500000000003,-0.0033398132172668404,Table I.B1.2b.24
PER,2015,escs,Q4,estimate,434.8874488500396,434.88745000000006,-1.1499604397613439e-06,Table I.B1.2b.24
PER,2015,escs,Q4,se,4.7895372313138695,4.797560000000001,-0.008022768686131165,Table I.B1.2b.24
PER,2018,escs,Q1,estimate,352.1691879380271,352.16919,-2.061972907085874e-06,Table I.B1.2b.24
PER,2018,escs,Q1,se,3.049665943348958,3.0462200000000004,0.0034459433489577584,Table I.B1.2b.24
PER,2018,escs,Q2,estimate,387.2264667122873,387.22647,-3.2877127296160324e-06,Table I.B1.2b.24
PER,2018,escs,Q2,se,3.1038111169338443,3.1160300000000003,-0.012218883066156039,Table I.B1.2b.24
PER,2018,escs,Q3,estimate,410.4480335838927,410.44803,3.583892691949586e-06,Table I.B1.2b.24
PER,2018,escs,Q3,se,4.2762691265098445,4.25593,0.020339126509844263,Table I.B1.2b.24
PER,2018,escs,Q4,estimate,450.2579739091658,450.25797000000006,3.909165741333709e-06,Table I.B1.2b.24
PER,2018,escs,Q4,se,4.346410573114234,4.33936,0.007050573114233849,Table I.B1.2b.24
