cnt,index,field,new,existing,difference
COL,homepos,Q4-Q1_se,8.216373432980857,8.216373432980857,0.0
COL,homepos,Q3-Q2_2022,25.35839821085159,25.358398210851615,-2.4868995751603507e-14
COL,homepos,Q3-Q2_2025,22.59024356891217,22.59024356891218,-7.105427357601002e-15
COL,homepos,Q3-Q2_change,-2.768154641939418,-2.7681546419394394,2.1316282072803006e-14
COL,homepos,Q3-Q2_se,4.725299646779184,4.725299646779183,8.881784197001252e-16
COL,homepos,Q4-Q2_2022,65.25077785877613,65.25077785877608,5.684341886080802e-14
COL,homepos,Q4-Q2_2025,54.67508109471572,54.67508109471568,4.263256414560601e-14
COL,homepos,Q4-Q2_change,-10.57569676406041,-10.575696764060396,-1.4210854715202004e-14
COL,homepos,Q4-Q2_se,7.048713605904606,7.048713605904605,8.881784197001252e-16
COL,homepos,Q4-Q3_2022,39.89237964792454,39.892379647924464,7.815970093361102e-14
COL,homepos,Q4-Q3_2025,32.08483752580355,32.0848375258035,4.973799150320701e-14
COL,homepos,Q4-Q3_change,-7.807542122120992,-7.807542122120964,-2.842170943040401e-14
COL,homepos,Q4-Q3_se,6.429794074233008,6.429794074233008,0.0
MEX,homepos,Q1_2022,362.52430085757976,362.52430085757976,0.0
MEX,homepos,Q1_2025,364.69867732152625,364.6986773215263,-5.684341886080802e-14
MEX,homepos,Q1_change,2.174376463946487,2.174376463946487,0.0
MEX,homepos,Q1_se,3.71655549867374,3.716555498673741,-8.881784197001252e-16
MEX,homepos,Q2_2022,387.76300875217964,387.7630087521797,-5.684341886080802e-14
MEX,homepos,Q2_2025,381.311939081608,381.311939081608,0.0
MEX,homepos,Q2_change,-6.4510696705716555,-6.451069670571656,8.881784197001252e-16
MEX,homepos,Q2_se,3.943701130376387,3.943701130376387,0.0
MEX,homepos,Q3_2022,402.6170938764157,402.6170938764157,0.0
MEX,homepos,Q3_2025,395.57203481591444,395.5720348159144,5.684341886080802e-14
MEX,homepos,Q3_change,-7.0450590605012735,-7.0450590605012735,0.0
MEX,homepos,Q3_se,4.0376158231714525,4.0376158231714525,0.0
MEX,homepos,Q4_2022,427.6414080368178,427.6414080368178,0.0
MEX,homepos,Q4_2025,409.8835785529592,409.8835785529592,0.0
MEX,homepos,Q4_change,-17.757829483858586,-17.757829483858586,0.0
MEX,homepos,Q4_se,5.689052081229569,5.689052081229569,0.0
MEX,homepos,Q2-Q1_2022,25.238707894599884,25.238707894599862,2.1316282072803006e-14
MEX,homepos,Q2-Q1_2025,16.61326176008174,16.613261760081695,4.618527782440651e-14
MEX,homepos,Q2-Q1_change,-8.625446134518143,-8.625446134518167,2.4868995751603507e-14
MEX,homepos,Q2-Q1_se,4.158541350629798,4.158541350629799,-8.881784197001252e-16
MEX,homepos,Q3-Q1_2022,40.09279301883595,40.092793018835934,1.4210854715202004e-14
MEX,homepos,Q3-Q1_2025,30.873357494388188,30.87335749438817,1.7763568394002505e-14
MEX,homepos,Q3-Q1_change,-9.21943552444776,-9.219435524447764,3.552713678800501e-15
MEX,homepos,Q3-Q1_se,4.443083426092349,4.4430834260923495,-8.881784197001252e-16
MEX,homepos,Q4-Q1_2022,65.11710717923802,65.11710717923793,8.526512829121202e-14
MEX,homepos,Q4-Q1_2025,45.184901231432946,45.18490123143295,-7.105427357601002e-15
MEX,homepos,Q4-Q1_change,-19.932205947805073,-19.93220594780498,-9.237055564881302e-14
MEX,homepos,Q4-Q1_se,6.279646131728561,6.279646131728561,0.0
MEX,homepos,Q3-Q2_2022,14.854085124236065,14.854085124236075,-1.0658141036401503e-14
MEX,homepos,Q3-Q2_2025,14.260095734306447,14.260095734306477,-3.019806626980426e-14
MEX,homepos,Q3-Q2_change,-0.593989389929618,-0.5939893899296003,-1.7763568394002505e-14
MEX,homepos,Q3-Q2_se,4.0947034717614645,4.0947034717614645,0.0
MEX,homepos,Q4-Q2_2022,39.878399284638135,39.878399284638064,7.105427357601002e-14
