cnt,index,n_systems,countries,status,group,mean_2022,mean_2025,link_se,estimate,se,ci_low,ci_high
URY,escs_pca,1,URY,both cycles,Q1,373.464552961627,369.821093711707,1.22,-3.6434592499199994,4.053313988019392,-11.587954666438007,4.301036166598008
URY,escs_pca,1,URY,both cycles,Q2,391.857694319326,389.22855712174726,1.22,-2.629137197578757,4.344624613628978,-11.144601440291554,5.88632704513404
URY,escs_pca,1,URY,both cycles,Q3,413.7376095755969,412.65507858869466,1.22,-1.0825309869022135,4.569516815821522,-10.038783945912396,7.873721972107969
URY,escs_pca,1,URY,both cycles,Q4,461.8122188497773,464.00351472850826,1.22,2.191295878730955,5.375600279319001,-8.344880668734287,12.727472426196197
URY,escs_pca,1,URY,both cycles,Q2-Q1,18.393141357698994,19.407463410040236,0.0,1.0143220523412424,4.8140261899263805,-8.421169279914464,10.449813384596949
URY,escs_pca,1,URY,both cycles,Q3-Q1,40.27305661396986,42.83398487698764,0.0,2.560928263017786,5.173000687604817,-7.578153084687655,12.700009610723226
URY,escs_pca,1,URY,both cycles,Q4-Q1,88.34766588815029,94.18242101680124,0.0,5.834755128650954,6.154056053136811,-6.227194735497195,17.8967049927991
URY,escs_pca,1,URY,both cycles,Q3-Q2,21.879915256270863,23.426521466947406,0.0,1.5466062106765435,4.801288977679414,-7.863920185575109,10.957132606928196
URY,escs_pca,1,URY,both cycles,Q4-Q2,69.9545245304513,74.774957606761,0.0,4.820433076309712,6.400332178155103,-7.724217992874289,17.36508414549371
URY,escs_pca,1,URY,both cycles,Q4-Q3,48.07460927418043,51.3484361398136,0.0,3.2738268656331684,6.222709656715731,-8.922684061529663,15.470337792796
LATAM7,escs_pca,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q1,362.07037084866255,357.11308785272115,1.22,-4.957282995941398,1.8452964978226674,-8.574064131673826,-1.34050186020897
LATAM7,escs_pca,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q2,379.3784374256963,374.45482948783376,1.22,-4.923607937862528,1.939908435303374,-8.725828471057142,-1.1213874046679146
LATAM7,escs_pca,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q3,396.71262327825633,393.01640762426115,1.22,-3.696215653995182,2.190937714144549,-7.990453573718498,0.598022265728134
LATAM7,escs_pca,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q4,435.8263286950447,436.7668106430216,1.22,0.9404819479768776,2.6057315090984483,-4.166751809856081,6.0477157058098365
LATAM7,escs_pca,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q2-Q1,17.308066577033742,17.341741635112612,0.0,0.03367505807887028,1.661114076035512,-3.2221085309507336,3.289458647108474
LATAM7,escs_pca,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q3-Q1,34.64225242959378,35.90331977154,0.0,1.261067341946216,1.996778137918918,-2.6526178083748633,5.174752492267295
LATAM7,escs_pca,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q4-Q1,73.75595784638216,79.65372279030044,0.0,5.8977649439182755,2.60393794209728,0.7940465774076069,11.001483310428945
LATAM7,escs_pca,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q3-Q2,17.33418585256004,18.561578136427386,0.0,1.2273922838673457,1.7677916488592174,-2.2374793478967203,4.692263915631411
LATAM7,escs_pca,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q4-Q2,56.44789126934842,62.31198115518782,0.0,5.864089885839405,2.4753446322811032,1.0124144065684426,10.715765365110368
LATAM7,escs_pca,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q4-Q3,39.11370541678838,43.75040301876044,0.0,4.63669760197206,2.3017806178943663,0.12520759089910172,9.148187613045017
ARG,escs_cc,1,ARG,both cycles,Q1,350.81132908932017,354.0635079895118,1.22,3.252178900191609,4.231638782598852,-5.04183311370214,11.546190914085358
ARG,escs_cc,1,ARG,both cycles,Q2,368.6798705035584,366.58637116147,1.22,-2.0934993420883643,4.631244762409846,-11.170739076411662,6.9837403922349335
ARG,escs_cc,1,ARG,both cycles,Q3,391.56252585281106,390.62547028670735,1.22,-0.9370555661037088,5.898285018268046,-12.497694201909079,10.623583069701661
ARG,escs_cc,1,ARG,both cycles,Q4,425.6910760271793,436.6139711092322,1.22,10.92289508205289,6.893273332066772,-2.587920648797983,24.43371081290376
ARG,escs_cc,1,ARG,both cycles,Q2-Q1,17.868541414238223,12.52286317195825,0.0,-5.345678242279973,4.91765325360763,-14.984278619350928,4.292922134790981
ARG,escs_cc,1,ARG,both cycles,Q3-Q1,40.751196763490896,36.56196229719558,0.0,-4.189234466295318,6.05031030039511,-16.047842655069733,7.669373722479097
ARG,escs_cc,1,ARG,both cycles,Q4-Q1,74.87974693785912,82.5504631197204,0.0,7.67071618186128,7.623316302771111,-7.270983771570098,22.61241613529266
ARG,escs_cc,1,ARG,both cycles,Q3-Q2,22.882655349252673,24.03909912523733,0.0,1.1564437759846555,5.767742161042555,-10.148330859658753,12.461218411628064
ARG,escs_cc,1,ARG,both cycles,Q4-Q2,57.0112055236209,70.02759994776216,0.0,13.016394424141254,6.857895252076868,-0.4250802699294063,26.457869118211914
ARG,escs_cc,1,ARG,both cycles,Q4-Q3,34.12855017436823,45.98850082252483,0.0,11.859950648156598,6.571761658443731,-1.0207022023931138,24.74060349870631
BRA,escs_cc,1,BRA,both cycles,Q1,355.33743800699085,353.9582285757598,1.22,-1.379209431231061,2.8690682775770124,-7.002583255282005,4.244164392819883
BRA,escs_cc,1,BRA,both cycles,Q2,371.28196121759123,379.00760912369816,1.22,7.7256479061069285,3.229410653781872,1.3960030246944601,14.055292787519397
BRA,escs_cc,1,BRA,both cycles,Q3,388.4801519985904,405.1422199753212,1.22,16.66206797673084,3.759072714267869,9.294285456765817,24.02985049669586
BRA,escs_cc,1,BRA,both cycles,Q4,433.2429904391799,444.90795798437256,1.22,11.664967545192667,5.448081754026802,0.9867273073001357,22.343207783085198
BRA,escs_cc,1,BRA,both cycles,Q2-Q1,15.94452321060038,25.04938054793837,0.0,9.10485733733799,3.530593148800438,2.1848947656891315,16.02481990898685
BRA,escs_cc,1,BRA,both cycles,Q3-Q1,33.14271399159952,51.18399139956142,0.0,18.0412774079619,4.16595554820304,9.876004533483941,26.206550282439856
BRA,escs_cc,1,BRA,both cycles,Q4-Q1,77.90555243218904,90.94972940861277,0.0,13.044176976423728,5.822535281928369,1.6320078238441251,24.45634612900333
BRA,escs_cc,1,BRA,both cycles,Q3-Q2,17.19819078099914,26.13461085162305,0.0,8.93642007062391,3.576895155646786,1.9257055655562096,15.94713457569161
BRA,escs_cc,1,BRA,both cycles,Q4-Q2,61.96102922158866,65.9003488606744,0.0,3.9393196390857383,5.62393564932836,-7.083594233597848,14.962233511769325
BRA,escs_cc,1,BRA,both cycles,Q4-Q3,44.76283844058952,39.76573800905135,0.0,-4.997100431538172,4.926838331839293,-14.653703561943185,4.6595026988668415
CHL,escs_cc,1,CHL,both cycles,Q1,389.7279682818172,384.998638629603,1.22,-4.729329652214176,4.3550374774790805,-13.265203108073173,3.8065438036448214
CHL,escs_cc,1,CHL,both cycles,Q2,407.1164427541549,398.98322869337056,1.22,-8.133214060784326,4.2830400638239885,-16.527972585879343,0.2615444643106919
CHL,escs_cc,1,CHL,both cycles,Q3,420.81415516913967,418.1097374517859,1.22,-2.704417717353749,4.584069956947959,-11.689194832971747,6.280359398264249
CHL,escs_cc,1,CHL,both cycles,Q4,458.3744863428957,454.9738952784725,1.22,-3.4005910644231676,4.980152023017347,-13.161689029537166,6.360506900690831
CHL,escs_cc,1,CHL,both cycles,Q2-Q1,17.38847447233769,13.984590063767541,0.0,-3.40388440857015,5.235229092186229,-13.664933429255157,6.8571646121148575
CHL,escs_cc,1,CHL,both cycles,Q3-Q1,31.08618688732247,33.111098822182896,0.0,2.0249119348604268,5.197425132760272,-8.162041325349707,12.21186519507056
CHL,escs_cc,1,CHL,both cycles,Q4-Q1,68.6465180610785,69.9752566488695,0.0,1.3287385877910083,6.563466967407294,-11.535656668327288,14.193133843909305
CHL,escs_cc,1,CHL,both cycles,Q3-Q2,13.697712414984778,19.126508758415355,0.0,5.428796343430577,5.224952350003145,-4.812110262575587,15.66970294943674
CHL,escs_cc,1,CHL,both cycles,Q4-Q2,51.258043588740804,55.99066658510196,0.0,4.732622996361158,5.422819300697804,-5.8961028330065375,15.361348825728854
CHL,escs_cc,1,CHL,both cycles,Q4-Q3,37.560331173756026,36.86415782668661,0.0,-0.6961733470694185,5.459389112799436,-11.396576008156313,10.004229314017476
COL,escs_cc,1,COL,both cycles,Q1,353.8282416931778,356.2556146111268,1.22,2.4273729179490147,4.333556177784088,-6.0663971905077965,10.921143026405826
COL,escs_cc,1,COL,both cycles,Q2,372.05836517993606,379.9600493320194,1.22,7.901684152083362,4.510756772201701,-0.9393991214319701,16.742767425598693
COL,escs_cc,1,COL,both cycles,Q3,388.0035245188383,398.24761778222944,1.22,10.244093263391164,5.916999535395042,-1.3532258259831167,21.841412352765445
COL,escs_cc,1,COL,both cycles,Q4,432.5085652797037,437.0986853030743,1.22,4.590120023370616,8.874105811404789,-12.803127366982771,21.983367413724004
COL,escs_cc,1,COL,both cycles,Q2-Q1,18.23012348675826,23.704434720892607,0.0,5.474311234134348,5.0182727000770875,-4.361503258016743,15.310125726285438
COL,escs_cc,1,COL,both cycles,Q3-Q1,34.175282825660474,41.992003171102624,0.0,7.81672034544215,6.103269453731548,-4.145687783871685,19.779128474755986
COL,escs_cc,1,COL,both cycles,Q4-Q1,78.6803235865259,80.8430706919475,0.0,2.1627471054216016,9.769474068839552,-16.98542206950392,21.310916280347122
COL,escs_cc,1,COL,both cycles,Q3-Q2,15.945159338902215,18.287568450210017,0.0,2.342409111307802,5.013913382252349,-7.484861117906803,12.169679340522407
COL,escs_cc,1,COL,both cycles,Q4-Q2,60.45020009976764,57.138635971054896,0.0,-3.311564128712746,9.00753332999466,-20.96632945550228,14.343201198076788
COL,escs_cc,1,COL,both cycles,Q4-Q3,44.50504076086543,38.85106752084488,0.0,-5.653973240020548,7.819148599633797,-20.97950449530279,9.671558015261693
MEX,escs_cc,1,MEX,both cycles,Q1,371.7843306096605,368.44469776886456,1.22,-3.3396328407959572,3.4886133838643834,-10.17731507317015,3.498049391578234
MEX,escs_cc,1,MEX,both cycles,Q2,387.6242855017698,384.9270778685902,1.22,-2.69720763317963,3.538958447677532,-9.633566190627594,4.2391509242683325
MEX,escs_cc,1,MEX,both cycles,Q3,399.8120757530131,398.3418862514581,1.22,-1.4701895015550122,4.915551856134243,-11.104671139578128,8.164292136468104
MEX,escs_cc,1,MEX,both cycles,Q4,430.398648397329,423.6802084251308,1.22,-6.718439972198212,5.515911589776125,-17.529626688159418,4.0927467437629925
MEX,escs_cc,1,MEX,both cycles,Q2-Q1,15.83995489210929,16.482380099725617,0.0,0.642425207616327,3.9004699048593188,-7.002495805907937,8.287346221140591
MEX,escs_cc,1,MEX,both cycles,Q3-Q1,28.027745143352604,29.89718848259355,0.0,1.869443339240945,5.046696707222752,-8.022082206915648,11.760968885397538
MEX,escs_cc,1,MEX,both cycles,Q4-Q1,58.61431778766848,55.23551065626623,0.0,-3.3788071314022545,5.9089679961216826,-14.960384403800752,8.202770140996243
MEX,escs_cc,1,MEX,both cycles,Q3-Q2,12.187790251243314,13.414808382867932,0.0,1.227018131624618,4.5927933529299265,-7.774856840118037,10.228893103367273
MEX,escs_cc,1,MEX,both cycles,Q4-Q2,42.77436289555919,38.75313055654061,0.0,-4.021232339018582,5.669688288264468,-15.133821384016938,7.091356705979775
MEX,escs_cc,1,MEX,both cycles,Q4-Q3,30.58657264431588,25.33832217367268,0.0,-5.2482504706432,5.536536224995231,-16.09986147163385,5.603360530347453
PER,escs_cc,1,PER,both cycles,Q1,351.6241140011058,353.52022211988907,1.22,1.8961081187832747,4.274114210731662,-6.481155734250784,10.273371971817333
PER,escs_cc,1,PER,both cycles,Q2,380.4232854775425,379.42471296513384,1.22,-0.9985725124086571,4.747638070910122,-10.303943131392495,8.306798106575181
PER,escs_cc,1,PER,both cycles,Q3,403.09433879318664,399.5694194737807,1.22,-3.5249193194059103,5.370043950060219,-14.05020546152394,7.0003668227121185
PER,escs_cc,1,PER,both cycles,Q4,439.06399474436586,434.406786787322,1.22,-4.657207957043852,6.154728640240649,-16.720476091915522,7.40606017782782
PER,escs_cc,1,PER,both cycles,Q2-Q1,28.799171476436698,25.904490845244766,0.0,-2.8946806311919318,4.60372110611201,-11.91797399917147,6.128612736787607
PER,escs_cc,1,PER,both cycles,Q3-Q1,51.47022479208084,46.04919735389166,0.0,-5.421027438189185,5.956779991033839,-17.09631622061551,6.25426134423714
PER,escs_cc,1,PER,both cycles,Q4-Q1,87.43988074326006,80.88656466743294,0.0,-6.5533160758271265,6.905005658281783,-20.08712716605942,6.980495014405168
PER,escs_cc,1,PER,both cycles,Q3-Q2,22.671053315644144,20.14470650864689,0.0,-2.5263468069972532,4.9461120807866585,-12.220726485339103,7.168032871344597
PER,escs_cc,1,PER,both cycles,Q4-Q2,58.640709266823364,54.98207382218817,0.0,-3.6586354446351947,6.896920353680827,-17.176599337849616,9.859328448579225
PER,escs_cc,1,PER,both cycles,Q4-Q3,35.96965595117922,34.83736731354128,0.0,-1.1322886376379415,6.415931314407869,-13.707514013877365,11.442936738601482
URY,escs_cc,1,URY,both cycles,Q1,378.89014268578177,376.00564464660516,1.22,-2.8844980391766057,4.222977533738703,-11.161534005304464,5.392537926951253
URY,escs_cc,1,URY,both cycles,Q2,397.80857160652965,398.3695607573265,1.22,0.5609891507968428,4.086629272052603,-7.44880422242626,8.570782524019945
URY,escs_cc,1,URY,both cycles,Q3,419.3586742702461,419.31722775092084,1.22,-0.041446519325290865,4.452737417115667,-8.768811856871999,8.685918818221417
URY,escs_cc,1,URY,both cycles,Q4,467.7551658369187,467.70028897674393,1.22,-0.054876860174772446,5.445063328684732,-10.727200984396847,10.617447264047302
URY,escs_cc,1,URY,both cycles,Q2-Q1,18.918428920747886,22.363916110721334,0.0,3.4454871899734485,4.842793674177647,-6.046388411414741,12.937362791361638
URY,escs_cc,1,URY,both cycles,Q3-Q1,40.46853158446436,43.31158310431567,0.0,2.843051519851315,4.947610600069516,-6.854265256284936,12.540368295987566
URY,escs_cc,1,URY,both cycles,Q4-Q1,88.86502315113694,91.69464433013877,0.0,2.8296211790018333,6.27841618484466,-9.476074543293699,15.135316901297365
URY,escs_cc,1,URY,both cycles,Q3-Q2,21.550102663716473,20.94766699359434,0.0,-0.6024356701221336,4.965499311826371,-10.33481432130182,9.129942981057553
URY,escs_cc,1,URY,both cycles,Q4-Q2,69.94659423038905,69.33072821941744,0.0,-0.6158660109716152,6.09007168794162,-12.55240651933719,11.32067449739396
URY,escs_cc,1,URY,both cycles,Q4-Q3,48.39649156667258,48.3830612258231,0.0,-0.013430340849481581,5.998942332767035,-11.771357313072869,11.744496631373906
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q1,364.57193776683636,363.89236490590855,1.22,-0.6795728609278058,1.8880353411544903,-4.380122129590607,3.020976407734995
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q2,383.5703974630118,383.89408712880123,1.22,0.323689665789459,1.9422610063381052,-3.483141906633227,4.130521238212145
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q3,401.5893494794036,404.1933684246005,1.22,2.6040189451969127,2.2144454655812824,-1.7362941673424004,6.944332057736226
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q4,441.00498958108176,442.7688276949069,1.22,1.7638381138251589,2.638869424382603,-3.408345957964743,6.936022185615061
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q2-Q1,18.998459696175416,20.00172222289268,0.0,1.0032625267172648,1.7443766801910074,-2.41571576645711,4.422240819891639
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q3-Q1,37.01741171256725,40.30100351869197,0.0,3.2835918061247185,2.0386860142106435,-0.7122327817281429,7.27941639397758
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q4-Q1,76.4330518142454,78.87646278899837,0.0,2.4434109747529646,2.6823387087922734,-2.8139728944798907,7.70079484398582
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q3-Q2,18.018952016391836,20.29928129579929,0.0,2.2803292794074537,1.8555731936325597,-1.356594180112363,5.917252738927271
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q4-Q2,57.434592118069986,58.874740566105686,0.0,1.4401484480356999,2.498995121107349,-3.4578819893347035,6.338178885406103
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q4-Q3,39.41564010167815,38.575459270306396,0.0,-0.8401808313717538,2.330851288234376,-5.40864935631113,3.728287693567623
ARG,escs_h_cc,1,ARG,both cycles,Q1,351.4807690520613,351.9243308962799,1.22,0.4435618442186069,4.243119976764829,-7.872953310240458,8.760076998677672
ARG,escs_h_cc,1,ARG,both cycles,Q2,370.1054448070223,366.993342140593,1.22,-3.1121026664293368,5.099187092244508,-13.106509367228572,6.8823040343698985
ARG,escs_h_cc,1,ARG,both cycles,Q3,390.52413963429365,391.5982956405514,1.22,1.0741560062577378,5.635286778620783,-9.971006079838997,12.119318092354472
ARG,escs_h_cc,1,ARG,both cycles,Q4,424.6548427278214,437.3820852600514,1.22,12.72724253222998,6.814463344891817,-0.6291056237579813,26.08359068821794
ARG,escs_h_cc,1,ARG,both cycles,Q2-Q1,18.624675754961004,15.06901124431306,0.0,-3.5556645106479436,5.36770698044116,-14.076370192312618,6.965041171016731
