cnt,index,n_systems,countries,status,wave,group,estimate,se,ci_low,ci_high
URY,escs_cc,1,URY,both cycles,2025,Q2-Q1,22.363916110721334,3.402916066271155,15.694200620829871,29.033631600612797
URY,escs_cc,1,URY,both cycles,2022,Q3-Q1,40.46853158446436,3.462410300631673,33.68220739522628,47.25485577370244
URY,escs_cc,1,URY,both cycles,2025,Q3-Q1,43.31158310431567,3.5341994227830322,36.384552235660934,50.23861397297041
URY,escs_cc,1,URY,both cycles,2022,Q4-Q1,88.86502315113694,4.243229641845683,80.5482930531194,97.18175324915448
URY,escs_cc,1,URY,both cycles,2025,Q4-Q1,91.69464433013877,4.627473608426258,82.62479605762331,100.76449260265423
URY,escs_cc,1,URY,both cycles,2022,Q3-Q2,21.550102663716473,3.247061297619638,15.185862520381983,27.914342807050964
URY,escs_cc,1,URY,both cycles,2025,Q3-Q2,20.94766699359434,3.756697531775594,13.584539831314174,28.310794155874504
URY,escs_cc,1,URY,both cycles,2022,Q4-Q2,69.94659423038905,4.083488778408632,61.942956224708134,77.95023223606997
URY,escs_cc,1,URY,both cycles,2025,Q4-Q2,69.33072821941744,4.51819571962956,60.4750646089435,78.18639182989138
URY,escs_cc,1,URY,both cycles,2022,Q4-Q3,48.39649156667258,3.9685234946381396,40.61818551718183,56.17479761616333
URY,escs_cc,1,URY,both cycles,2025,Q4-Q3,48.3830612258231,4.498680960500476,39.56564654324217,57.20047590840403
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2022,Q1,364.57193776683636,0.9876133755043708,362.6362155508478,366.5076599828249
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2025,Q1,363.89236490590855,1.0492365176513898,361.83586133131183,365.94886848050527
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2022,Q2,383.5703974630118,1.0577133330603523,381.4972793302135,385.6435155958101
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2025,Q2,383.89408712880123,1.0794537145278018,381.7783578483267,386.00981640927574
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2022,Q3,401.5893494794036,1.2619905115299535,399.1158480768049,404.0628508820023
