cnt,index,wave,group,statistic,computed,official,difference,source_table
BRA,homepos,change,Q2,se,2.899373468902686,2.8811500000000003,0.01822346890268589,Table I.B1.2b.38
BRA,homepos,2022,Q3,estimate,385.83945422885483,385.83945000000006,4.22885477746604e-06,Table I.B1.2b.38
BRA,homepos,2022,Q3,se,2.524563123205592,2.5302300000000004,-0.00566687679440836,Table I.B1.2b.38
BRA,homepos,2025,Q3,estimate,386.3058156126557,386.24660000000006,0.059215612655634686,Table I.B1.2b.38
BRA,homepos,2025,Q3,se,2.615703554795087,2.61185,0.0038535547950870885,Table I.B1.2b.38
BRA,homepos,change,Q3,estimate,0.4663613838008587,0.40715,0.059211383800858663,Table I.B1.2b.38
BRA,homepos,change,Q3,se,3.834543525586485,3.8356500000000002,-0.0011064744135151905,Table I.B1.2b.38
BRA,homepos,2022,Q4,estimate,427.2814146180591,427.28141000000005,4.618059051608725e-06,Table I.B1.2b.38
BRA,homepos,2022,Q4,se,3.498166779156853,3.4942900000000003,0.0038767791568528054,Table I.B1.2b.38
BRA,homepos,2025,Q4,estimate,422.86284073982534,422.86284000000006,7.398252819257323e-07,Table I.B1.2b.38
BRA,homepos,2025,Q4,se,3.3998448409145925,3.4004100000000004,-0.0005651590854078847,Table I.B1.2b.38
BRA,homepos,change,Q4,estimate,-4.418573878233758,-4.418570000000001,-3.878233757248495e-06,Table I.B1.2b.38
BRA,homepos,change,Q4,se,5.02837108386903,5.02606,0.002311083869029673,Table I.B1.2b.38
BRA,homepos,2022,Q4-Q1,estimate,85.56463867753268,85.56464000000001,-1.3224673267586695e-06,Table I.B1.2b.38
BRA,homepos,2022,Q4-Q1,se,3.897965544503414,3.8944500000000004,0.0035155445034136257,Table I.B1.2b.38
BRA,homepos,2025,Q4-Q1,estimate,79.36329522872074,79.3683,-0.005004771279260467,Table I.B1.2b.38
BRA,homepos,2025,Q4-Q1,se,3.537870421751388,3.5405200000000003,-0.0026495782486124497,Table I.B1.2b.38
